timestamp,step,epoch,eval_loss,wer,cer,eval_samples_per_second,eval_steps_per_second,eval_runtime
2026-02-11T22:22:37.167836,4,1.0,3.1494340896606445,0.9024390243902439,0.3025895707697765,3.32,0.107,9.3384
2026-02-11T22:22:57.578802,8,2.0,3.0708694458007812,0.8585365853658536,0.28981908478183754,3.314,0.107,9.3543
2026-02-11T22:23:11.388935,12,3.0,2.8664801120758057,0.5560975609756098,0.14508691025186235,6.439,0.208,4.8145
2026-02-11T22:23:26.988096,16,4.0,2.7061381340026855,0.48048780487804876,0.10074494501596311,6.46,0.208,4.7988
2026-02-11T22:23:40.781412,20,5.0,2.5607407093048096,0.3878048780487805,0.08229868747782902,6.444,0.208,4.8106
2026-02-11T22:23:57.924253,24,6.0,2.453132390975952,0.35853658536585364,0.0716566158212132,6.558,0.212,4.7268
2026-02-11T22:24:11.157575,28,7.0,2.3651866912841797,0.33658536585365856,0.0656261085491309,6.548,0.211,4.7342
2026-02-11T22:24:24.110174,32,8.0,2.2828025817871094,0.3024390243902439,0.05817665838949982,6.533,0.211,4.7454
2026-02-11T22:24:40.971158,36,9.0,2.2173423767089844,0.2780487804878049,0.05285562256119191,6.521,0.21,4.7542
2026-02-11T22:24:54.068250,40,10.0,2.1724560260772705,0.25853658536585367,0.0478893224547712,6.3,0.203,4.9204
2026-02-11T22:25:09.123240,44,11.0,2.142167806625366,0.25121951219512195,0.048598793898545586,6.544,0.211,4.737
2026-02-11T22:25:22.375111,48,12.0,2.1201984882354736,0.25121951219512195,0.047534586732884,6.438,0.208,4.8155
2026-02-11T22:25:37.180639,52,13.0,2.1022698879241943,0.22439024390243903,0.044341965235899256,6.567,0.212,4.7204
2026-02-11T22:25:53.216550,56,14.0,2.0858476161956787,0.22195121951219512,0.045406172401560835,6.426,0.207,4.8241
2026-02-11T22:26:07.886214,60,15.0,2.0732076168060303,0.21951219512195122,0.0478893224547712,6.312,0.204,4.9111
2026-02-11T22:26:30.543005,64,16.0,2.0640127658843994,0.21951219512195122,0.048598793898545586,6.475,0.209,4.7878
2026-02-11T22:26:50.935067,68,17.0,2.057586431503296,0.21951219512195122,0.04717985101099681,6.461,0.208,4.7979
2026-02-11T22:27:10.619010,72,18.0,2.0528409481048584,0.22439024390243903,0.0478893224547712,6.501,0.21,4.7688
2026-02-11T22:27:25.636536,76,19.0,2.05025315284729,0.21951219512195122,0.04717985101099681,6.51,0.21,4.7619
2026-02-11T22:27:45.488606,80,20.0,2.047739267349243,0.21951219512195122,0.04682511528910961,6.293,0.203,4.9265
2026-02-11T22:28:05.376838,84,21.0,2.046588897705078,0.21951219512195122,0.04647037956722242,6.507,0.21,4.7644
2026-02-11T22:28:24.463897,84,21.0,2.0732076168060303,0.21951219512195122,0.0478893224547712,6.433,0.208,4.8188
