timestamp,step,epoch,eval_loss,wer,cer,eval_samples_per_second,eval_steps_per_second,eval_runtime
2026-02-08T19:56:51.105277,4,1.0,3.2429327964782715,0.744927536231884,0.17598612917208495,3.813,0.123,8.1296
2026-02-08T19:57:10.277563,8,2.0,3.000265121459961,0.6695652173913044,0.13654096228868662,3.936,0.127,7.8761
2026-02-08T19:57:30.187501,12,3.0,2.7687876224517822,0.4927536231884058,0.09146077156480277,3.936,0.127,7.8757
2026-02-08T19:57:52.012983,16,4.0,2.545093536376953,0.4318840579710145,0.0754226267880364,3.93,0.127,7.8875
2026-02-08T19:58:13.050827,20,5.0,2.3172767162323,0.3159420289855073,0.0576506285218899,4.153,0.134,7.4645
2026-02-08T19:58:32.355258,24,6.0,2.1943349838256836,0.263768115942029,0.05201560468140442,3.947,0.127,7.8549
2026-02-08T19:58:51.703365,28,7.0,2.127617120742798,0.23478260869565218,0.04161248374512354,3.988,0.129,7.7727
2026-02-08T19:59:11.692542,32,8.0,2.0848753452301025,0.21739130434782608,0.03944516688339835,3.847,0.124,8.0585
2026-02-08T19:59:32.284089,36,9.0,2.052431106567383,0.18840579710144928,0.035110533159947985,3.888,0.125,7.9736
2026-02-08T19:59:52.985071,40,10.0,2.012667655944824,0.1855072463768116,0.03424360641525791,3.894,0.126,7.9618
2026-02-08T20:00:14.202594,44,11.0,1.9902018308639526,0.19130434782608696,0.036410923276983094,3.847,0.124,8.0584
2026-02-08T20:00:36.492212,48,12.0,1.985146403312683,0.18840579710144928,0.035110533159947985,3.948,0.127,7.852
2026-02-08T20:00:56.065208,52,13.0,1.9644336700439453,0.18840579710144928,0.034677069787602946,3.783,0.122,8.1951
2026-02-08T20:01:16.770308,56,14.0,1.9560434818267822,0.19710144927536233,0.03684438664932813,3.878,0.125,7.993
2026-02-08T20:01:37.438706,60,15.0,1.9543455839157104,0.19420289855072465,0.034677069787602946,3.826,0.123,8.1025
2026-02-08T20:01:59.041693,64,16.0,1.95046067237854,0.18840579710144928,0.03424360641525791,3.833,0.124,8.0887
2026-02-08T20:02:18.789153,68,17.0,1.9325964450836182,0.17971014492753623,0.02990897269180754,3.866,0.125,8.0188
2026-02-08T20:02:38.140946,72,18.0,1.9418545961380005,0.19710144927536233,0.032509752925877766,3.965,0.128,7.8187
2026-02-08T20:02:59.446524,76,19.0,1.949031949043274,0.1855072463768116,0.032509752925877766,3.876,0.125,7.9986
2026-02-08T20:03:18.302165,80,20.0,1.9414002895355225,0.17971014492753623,0.031209362808842653,3.943,0.127,7.8621
2026-02-08T20:03:40.750020,84,21.0,1.9397952556610107,0.1826086956521739,0.03034243606415258,4.015,0.13,7.7202
2026-02-08T20:04:00.441581,88,22.0,1.9478952884674072,0.19130434782608696,0.033810143042912875,4.066,0.131,7.6236
2026-02-08T20:04:20.604801,92,23.0,1.9569642543792725,0.17391304347826086,0.03164282618118769,4.004,0.129,7.7417
2026-02-08T20:04:40.582927,96,24.0,1.9469854831695557,0.17101449275362318,0.03207628955353273,3.977,0.128,7.794
2026-02-08T20:04:59.485786,100,25.0,1.9443901777267456,0.1681159420289855,0.03034243606415258,4.062,0.131,7.6313
2026-02-08T20:05:24.383050,104,26.0,1.9508917331695557,0.1681159420289855,0.030775899436497615,3.959,0.128,7.8295
2026-02-08T20:05:45.997723,108,27.0,1.955515742301941,0.16521739130434782,0.02990897269180754,3.904,0.126,7.941
2026-02-08T20:06:05.890305,112,28.0,1.9536877870559692,0.16521739130434782,0.02990897269180754,3.964,0.128,7.8198
2026-02-08T20:06:26.448394,116,29.0,1.9516124725341797,0.1681159420289855,0.03034243606415258,3.9,0.126,7.9485
2026-02-08T20:06:47.509826,120,30.0,1.9532650709152222,0.1681159420289855,0.03034243606415258,3.873,0.125,8.005
2026-02-08T20:07:07.417355,124,31.0,1.9584370851516724,0.16231884057971013,0.029475509319462505,4.02,0.13,7.711
2026-02-08T20:07:31.148253,128,32.0,1.9629307985305786,0.16231884057971013,0.029475509319462505,4.105,0.132,7.5516
2026-02-08T20:07:51.412930,132,33.0,1.9629240036010742,0.16231884057971013,0.029475509319462505,4.057,0.131,7.641
2026-02-08T20:08:11.736098,136,34.0,1.959625005722046,0.16231884057971013,0.029475509319462505,3.884,0.125,7.9809
2026-02-08T20:08:35.346561,140,35.0,1.9618881940841675,0.16231884057971013,0.029475509319462505,3.892,0.126,7.9644
2026-02-08T20:08:54.798519,144,36.0,1.9653061628341675,0.1681159420289855,0.030775899436497615,4.052,0.131,7.6511
2026-02-08T20:09:18.753853,148,37.0,1.9665682315826416,0.1681159420289855,0.030775899436497615,4.07,0.131,7.6171
2026-02-08T20:09:44.491695,152,38.0,1.963068962097168,0.16231884057971013,0.02990897269180754,4.044,0.13,7.6657
2026-02-08T20:10:05.368719,156,39.0,1.970841407775879,0.16231884057971013,0.02990897269180754,3.858,0.124,8.0352
2026-02-08T20:10:22.405025,156,39.0,1.9584370851516724,0.16231884057971013,0.029475509319462505,3.806,0.123,8.1458
