timestamp,step,epoch,eval_loss,wer,cer,eval_samples_per_second,eval_steps_per_second,eval_runtime
2026-03-03T15:23:21.688897,4,2.0,2.951662540435791,0.6292682926829268,0.13550904576090814,3.838,0.124,8.0761
2026-03-03T15:23:45.102493,8,4.0,2.501199722290039,0.36829268292682926,0.0716566158212132,3.904,0.126,7.9403
2026-03-03T15:24:08.947384,12,6.0,2.276987314224243,0.3073170731707317,0.06172401560837176,3.869,0.125,8.0118
2026-03-03T15:24:32.560888,16,8.0,2.105292558670044,0.24878048780487805,0.05285562256119191,3.881,0.125,7.9877
2026-03-03T15:24:55.936567,20,10.0,2.0249135494232178,0.1878048780487805,0.039020929407591345,3.896,0.126,7.9566
2026-03-03T15:25:19.247378,24,12.0,2.0058929920196533,0.1902439024390244,0.0418588151826889,4.024,0.13,7.7037
2026-03-03T15:25:42.479968,28,14.0,1.9893686771392822,0.1926829268292683,0.04221355090457609,3.997,0.129,7.7567
2026-03-03T15:26:05.968497,32,16.0,1.9801274538040161,0.1951219512195122,0.04363249379212487,3.96,0.128,7.8289
2026-03-03T15:26:29.279893,36,18.0,1.9698001146316528,0.1926829268292683,0.039730400851365734,4.007,0.129,7.7364
2026-03-03T15:26:52.489220,40,20.0,1.9694921970367432,0.18536585365853658,0.039375665129478536,4.014,0.129,7.7234
2026-03-03T15:27:15.701660,44,22.0,1.9673235416412354,0.1951219512195122,0.0415040794608017,4.007,0.129,7.7356
2026-03-03T15:27:38.957759,48,24.0,1.9664849042892456,0.18536585365853658,0.039375665129478536,4.011,0.129,7.7281
2026-03-03T15:28:02.059550,52,26.0,1.9645549058914185,0.18292682926829268,0.03866619368570415,4.028,0.13,7.6965
2026-03-03T15:28:25.112136,56,28.0,1.9680938720703125,0.18536585365853658,0.039375665129478536,3.977,0.128,7.7946
2026-03-03T15:28:48.213198,60,30.0,1.9696836471557617,0.1902439024390244,0.039375665129478536,4.03,0.13,7.6923
2026-03-03T15:29:11.370279,64,32.0,1.9669750928878784,0.1951219512195122,0.040085136573252925,3.983,0.128,7.7831
2026-03-03T15:29:34.484893,68,34.0,1.9665067195892334,0.1926829268292683,0.039375665129478536,4.0,0.129,7.7492
2026-03-03T15:29:57.573084,72,36.0,1.9705208539962769,0.1975609756097561,0.0415040794608017,4.027,0.13,7.698
2026-03-03T15:30:21.201282,76,38.0,1.9687241315841675,0.1926829268292683,0.040085136573252925,3.995,0.129,7.7597
2026-03-03T15:30:34.597399,76,38.0,1.9645549058914185,0.18292682926829268,0.03866619368570415,3.999,0.129,7.7521
