timestamp,step,epoch,loss,learning_rate,grad_norm,samples_per_second,steps_per_second
2026-03-03T16:02:02.110416,1,0.5,4.1835,0.0,18.973154067993164,,
2026-03-03T16:02:02.532527,2,1.0,4.1387,1.6666666666666667e-06,19.080894470214844,,
2026-03-03T16:02:05.438410,3,1.5,3.949,3.3333333333333333e-06,16.69603729248047,,
2026-03-03T16:02:05.868355,4,2.0,4.0792,5e-06,15.853116035461426,,
2026-03-03T16:02:17.995032,5,2.5,4.0077,6.666666666666667e-06,14.983185768127441,,
2026-03-03T16:02:18.402982,6,3.0,3.7244,8.333333333333334e-06,12.9873046875,,
2026-03-03T16:02:21.383967,7,3.5,3.5677,1e-05,11.160758018493652,,
2026-03-03T16:02:21.799341,8,4.0,3.7524,1.1666666666666668e-05,11.486013412475586,,
2026-03-03T16:02:33.837396,9,4.5,3.452,1.3333333333333333e-05,9.698690414428711,,
2026-03-03T16:02:34.259466,10,5.0,3.429,1.5000000000000002e-05,9.847036361694336,,
2026-03-03T16:02:37.214471,11,5.5,3.306,1.6666666666666667e-05,10.087929725646973,,
2026-03-03T16:02:37.631374,12,6.0,3.1224,1.8333333333333333e-05,8.222613334655762,,
2026-03-03T16:02:49.735142,13,6.5,3.0123,2e-05,8.188682556152344,,
2026-03-03T16:02:50.155234,14,7.0,2.9419,1.9978589232386036e-05,7.296702861785889,,
2026-03-03T16:02:53.138443,15,7.5,2.7401,1.9914448613738107e-05,6.422309398651123,,
2026-03-03T16:02:53.561530,16,8.0,2.7764,1.9807852804032306e-05,6.229946613311768,,
2026-03-03T16:03:05.521337,17,8.5,2.5506,1.9659258262890683e-05,5.376963138580322,,
2026-03-03T16:03:05.952042,18,9.0,2.6042,1.946930129495106e-05,5.1236419677734375,,
2026-03-03T16:03:08.932986,19,9.5,2.4636,1.9238795325112867e-05,4.661915302276611,,
2026-03-03T16:03:09.353346,20,10.0,2.4123,1.8968727415326885e-05,4.401996612548828,,
2026-03-03T16:03:21.364826,21,10.5,2.3177,1.866025403784439e-05,4.001297473907471,,
2026-03-03T16:03:21.784280,22,11.0,2.3161,1.8314696123025456e-05,4.072437286376953,,
2026-03-03T16:03:24.765962,23,11.5,2.246,1.7933533402912354e-05,3.857520818710327,,
2026-03-03T16:03:25.198257,24,12.0,2.1963,1.7518398074789776e-05,3.5355446338653564,,
2026-03-03T16:03:37.178225,25,12.5,2.1232,1.7071067811865477e-05,3.2115941047668457,,
2026-03-03T16:03:37.600571,26,13.0,2.1434,1.659345815100069e-05,3.2779529094696045,,
2026-03-03T16:03:40.588188,27,13.5,2.0857,1.608761429008721e-05,3.082139015197754,,
2026-03-03T16:03:41.001166,28,14.0,2.0353,1.5555702330196024e-05,2.841341495513916,,
2026-03-03T16:03:53.171903,29,14.5,2.0397,1.5000000000000002e-05,2.8397324085235596,,
2026-03-03T16:03:53.583998,30,15.0,1.9522,1.4422886902190014e-05,2.6365325450897217,,
2026-03-03T16:03:56.573371,31,15.5,1.8844,1.3826834323650899e-05,2.455878496170044,,
2026-03-03T16:03:57.007480,32,16.0,1.9908,1.3214394653031616e-05,2.6672613620758057,,
