timestamp,step,epoch,eval_loss,wer,cer,eval_samples_per_second,eval_steps_per_second,eval_runtime
2026-02-11T22:28:45.452839,4,1.0,3.1592965126037598,0.7043478260869566,0.16341569137407888,6.985,0.225,4.4382
2026-02-11T22:28:57.965993,8,2.0,3.0873584747314453,0.6927536231884058,0.15561335067186824,7.14,0.23,4.3417
2026-02-11T22:29:10.512171,12,3.0,2.9010210037231445,0.591304347826087,0.12093628088426528,6.96,0.225,4.4543
2026-02-11T22:29:22.957954,16,4.0,2.754295587539673,0.518840579710145,0.10099696575639358,7.103,0.229,4.3642
2026-02-11T22:29:37.416367,20,5.0,2.606374979019165,0.463768115942029,0.08842652795838751,7.121,0.23,4.3534
2026-02-11T22:29:49.751634,24,6.0,2.481581926345825,0.3507246376811594,0.07108799306458605,7.191,0.232,4.3112
2026-02-11T22:30:02.543717,28,7.0,2.3826730251312256,0.30144927536231886,0.05981794538361508,7.218,0.233,4.2951
2026-02-11T22:30:16.093731,32,8.0,2.2968149185180664,0.27246376811594203,0.055916775032509754,7.21,0.233,4.2996
2026-02-11T22:30:28.501069,36,9.0,2.2270328998565674,0.2463768115942029,0.05071521456436931,7.239,0.234,4.2824
2026-02-11T22:30:40.985948,40,10.0,2.178154706954956,0.23478260869565218,0.0494148244473342,7.116,0.23,4.3564
2026-02-11T22:31:01.130688,44,11.0,2.1457395553588867,0.22608695652173913,0.04638058084091894,7.098,0.229,4.3672
2026-02-11T22:31:17.743589,48,12.0,2.119295358657837,0.22028985507246376,0.045947117468573904,7.261,0.234,4.2694
2026-02-11T22:31:36.836862,52,13.0,2.0963075160980225,0.21159420289855072,0.043779800606848725,7.324,0.236,4.2325
2026-02-11T22:31:52.225197,56,14.0,2.079761266708374,0.18840579710144928,0.03987863025574339,7.113,0.229,4.358
2026-02-11T22:32:12.538500,60,15.0,2.0660555362701416,0.19710144927536233,0.0411790203727785,7.183,0.232,4.3156
2026-02-11T22:32:27.116578,64,16.0,2.053391695022583,0.17971014492753623,0.03944516688339835,7.107,0.229,4.3616
2026-02-11T22:32:42.653381,68,17.0,2.046889305114746,0.17971014492753623,0.03987863025574339,6.957,0.224,4.456
2026-02-11T22:32:56.931630,72,18.0,2.042804479598999,0.17681159420289855,0.03901170351105332,7.257,0.234,4.272
2026-02-11T22:33:12.979117,76,19.0,2.0389301776885986,0.17391304347826086,0.03814477676636324,7.206,0.232,4.302
2026-02-11T22:33:26.409797,80,20.0,2.034284830093384,0.17391304347826086,0.03814477676636324,7.124,0.23,4.3512
2026-02-11T22:33:43.525976,84,21.0,2.032334566116333,0.17971014492753623,0.03857824013870828,7.168,0.231,4.3248
2026-02-11T22:33:56.055653,88,22.0,2.031010389328003,0.17971014492753623,0.03944516688339835,7.007,0.226,4.4239
2026-02-11T22:34:09.320685,92,23.0,2.0306177139282227,0.17391304347826086,0.03814477676636324,6.614,0.213,4.6871
2026-02-11T22:34:27.522410,96,24.0,2.030101776123047,0.17391304347826086,0.03814477676636324,7.183,0.232,4.316
2026-02-11T22:34:41.187549,100,25.0,2.0304644107818604,0.17971014492753623,0.03814477676636324,7.152,0.231,4.3347
2026-02-11T22:34:53.239397,100,25.0,2.0389301776885986,0.17391304347826086,0.03814477676636324,7.143,0.23,4.3402
